Mile High (feat. Travis Scott & Metro Boomin), 0.754 0.37 0.228 -9.854
Street Spirit (Fade Out), 0.488 0.454 0.131 -11.544
Gravity, 0.606 0.566 0.205 -8.526
High, 0.601 0.787 0.525 -6.178
Could've Been (feat. Bryson Tiller), 0.45 0.352 0.408 -11.733
Empyrean: Into The Cold Wastes, 0.389 0.991 0.123 -2.436
Kobe, 0.514 0.749 0.608 -4.83
Freakin' Out On the Interstate, 0.708 0.823 0.805 -4.676
Almost Legion, 0.695 0.314 0.442 -15.646
Tomar Khola Hawaa, 0.629 0.406 0.504 -10.912
Chorabali, 0.513 0.0373 0.449 -21.446
She Will Be Loved, 0.791 0.641 0.338 -6.576
夢灯籠, 0.214 0.864 0.131 -5.71
Resonance, 0.567 0.743 0.423 -8.614
1996, 0.48 0.661 0.212 -6.721
Demons, 0.5 0.71 0.419 -3.015
Water Jump, 0.634 0.72 0.112 -8.054
When I'm Gone, 0.515 0.74 0.765 -5.507
Highway to Hell, 0.574 0.913 0.423 -4.793
Out of Time, 0.65 0.76 0.838 -4.422
Who Would Leave Their Son out in the Sun?, 0.0709 0.133 0.0528 -22.734
Soldier, 0.857 0.911 0.536 -3.021
LFO, 0.738 0.747 0.644 -16.897
Survival, 0.459 0.899 0.436 -2.978
SHEESH, 0.774 0.728 0.461 -5.079
Na, 0.635 0.944 0.682 -4.995
Tell Me It's Not a Dream, 0.374 0.338 0.129 -6.556
Lady Of Namek, 0.676 0.659 0.595 -5.123
Game Over, 0.608 0.738 0.619 -6.474
The Scientist, 0.557 0.442 0.213 -7.224
Chamber Of Reflection, 0.537 0.558 0.505 -8.678
"I miss you,  I’m sorry" 0.445 0.124 7
Almost Is Never Enough, 0.324 0.327 0.334 -7.494
SPOT!, 0.875 0.782 0.906 -3.905
XO, 0.431 0.377 0.353 -9.753
You Should Be Dancing, 0.682 0.716 0.963 -10.911
Trust, 0.764 0.394 0.465 -8.559
This Is How It Feels (with Laufey), 0.235 0.217 0.221 -11.72
Dragostea Din Tei, 0.809 0.965 0.672 -3.947
Though Our Paths May Diverge (Goblin Slayer Episode Seven inserted song), 0.109 0.24 0.0521 -12.274
Jhamela Nai, 0.663 0.576 0.406 -7.657
New Flame, 0.73 0.487 0.303 -7.514
How to Disappear Completely, 0.167 0.302 0.19 -11.644
Kill V. Maim, 0.578 0.947 0.456 -2.431
The Carrion Call, 0.247 0.945 0.274 -5.667
Prayer, 0.176 0.39 0.127 -9.71
Turn Back Time, 0.68 0.346 0.224 -6.533
Lifetime (with Ty Dolla $ign & 070 Shake), 0.584 0.718 0.155 -7.824
誰か、海を。, 0.359 0.519 0.205 -9.032
Father, 0.391 0.826 0.0396 -5.338
DRUGS, 0.821 0.769 0.661 -5.379
Till I Collapse, 0.548 0.847 0.1 -3.237
